Event,Value,Key,KeyValue
ConnectionFlags,9,ConnectionFlags_9,Event's socket attributes includes RawSocket and PromiscuousModeSioRcvall_Mcast
ConnectionHash,3271,ConnectionHash_3271,MD5
ConnectionHash,3272,ConnectionHash_3272,SHA
ConnectionHash,32780,ConnectionHash_32780,SHA-256
ConnectionHash,32781,ConnectionHash_32781,SHA-384
ConnectionProtocol,1,ConnectionProtocol_1,PCT 1.0 Server
ConnectionProtocol,1024,ConnectionProtocol_1024,TLS 1.2 Server
ConnectionProtocol,128,ConnectionProtocol_128,TLS 1.0 Client
ConnectionProtocol,16,ConnectionProtocol_16,SSL 3.0 Server
ConnectionProtocol,2,ConnectionProtocol_2,PCT 1.0 Client
ConnectionProtocol,2048,ConnectionProtocol_2048,TLS 1.2 Client
ConnectionProtocol,256,ConnectionProtocol_256,TLS 1.1 Server
ConnectionProtocol,32,ConnectionProtocol_32,SSL 3.0 Client
ConnectionProtocol,4,ConnectionProtocol_4,SSL 2.0 Server
ConnectionProtocol,512,ConnectionProtocol_512,TLS 1.1 Client
ConnectionProtocol,64,ConnectionProtocol_64,TLS 1.0 Server
ConnectionProtocol,8,ConnectionProtocol_8,SSL 2.0 Client
ConnectType,0,ConnectType_0,CONNECT_INVALID
ConnectType,1,ConnectType_1,CONNECT_DIRECT
ConnectType,10,ConnectType_10,CONNECT_CACHE_PROXYFORURL_WPAD
ConnectType,11,ConnectType_11,CONNECT_CACHE_PROXYFORURL_PACURL
ConnectType,12,ConnectType_12,CONNECT_CACHE_PROXYFORURL_IE_PACURL
ConnectType,2,ConnectType_2,CONNECT_WPAD
ConnectType,3,ConnectType_3,CONNECT_IE_AUTOPROXY
ConnectType,4,ConnectType_4,CONNECT_IE_PROXY
ConnectType,5,ConnectType_5,CONNECT_SIMPLESTORE_AUTOCONFIG
ConnectType,6,ConnectType_6,CONNECT_CACHE_PROXY
ConnectType,7,ConnectType_7,CONNECT_PERSISTED_PROXY
ConnectType,8,ConnectType_8,CONNECT_APP_PROXY
ConnectType,9,ConnectType_9,CONNECT_DIRECT_DNS_BYPASS
CpuVendor,0,CpuVendor_0,Intel Processor
CpuVendor,1,CpuVendor_1,AMD Processor
CpuVendor,2,CpuVendor_2,Apple Processor
CpuVendor,3,CpuVendor_3,ARM64 Processor
CreateProcessType,0,CreateProcessType_0,Unavailable
CreateProcessType,1,CreateProcessType_1,Unknown
CreateProcessType,2,CreateProcessType_2,NTCreateProcess
CreateProcessType,3,CreateProcessType_3,CreateProcess
CreateProcessType,4,CreateProcessType_4,ShellExecute
CreateProcessType,5,CreateProcessType_5,CRT System
DnsResponseType,0,DnsResponseType_0,UNKNOWN
DnsResponseType,1,DnsResponseType_1,CACHE
DnsResponseType,2,DnsResponseType_2,WIRE
DriverLoadFlags,0,DriverLoadFlags_0,NONE
DriverLoadFlags,1,DriverLoadFlags_1,DRIVER_RUNDOWN
DriverLoadFlags,2,DriverLoadFlags_2,DRIVER_RUNDOWN_BOOT_ONLY
DualRequest,0,DualRequest_0,No
DualRequest,1,DualRequest_1,Yes
EfiSupported,0,EfiSupported_0,No
EfiSupported,1,EfiSupported_1,Yes
EtwProviders,0,EtwProviders_0,ETW Provider - None found within the ETW Consumer component
EtwProviders,1,EtwProviders_1,ETW Provider Kernel Process found within the ETW Consumer component
EtwProviders,1024,EtwProviders_1024,ETW Provider - DNS_Server found within the ETW Consumer component
EtwProviders,1.15292E+18,EtwProviders_1152921504606846975,ETW Provider - Default_Session_Mask found within the ETW Consumer component
EtwProviders,1.15292E+18,EtwProviders_1152921504606846976,ETW Provider - Security_Mitigations found within the ETW Consumer component
EtwProviders,1.15292E+19,EtwProviders_11529215046068470783,ETW Provider - Reduced_Providers found within the ETW Consumer component
EtwProviders,128,EtwProviders_128,ETW Provider - WININET found within the ETW Consumer component
EtwProviders,16,EtwProviders_16,ETW Provider - WMI found within the ETW Consumer component
EtwProviders,16384,EtwProviders_16384,ETW Provider - WER_Diagnostics found within the ETW Consumer component
EtwProviders,1.72938E+19,EtwProviders_17293822569102737407,ETW Provider - Default_Providers found within the ETW Consumer component
EtwProviders,2,EtwProviders_2,ETW Provider - DNS found within the ETW Consumer component
EtwProviders,2048,EtwProviders_2048,ETW Provider - Active_Directory_NetLogon found within the ETW Consumer component
EtwProviders,2.30584E+18,EtwProviders_2305843009213693952,ETW Provider - Auditing found within the ETW Consumer component
EtwProviders,256,EtwProviders_256,ETW Provider - AuditCVE found within the ETW Consumer component
EtwProviders,32,EtwProviders_32,ETW Provider - SMB_Server found within the ETW Consumer component
EtwProviders,4,EtwProviders_4,ETW Provider - Threat_Intelligence found within the ETW Consumer component
